epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1098.51,0.34744,0.30214,0.85124,0.99787,1,0.995,0.94317,0.26944,0.29265,0.81465,0.0008318,0.0008318,0.0008318
61,1116.69,0.3402,0.3106,0.85472,0.9981,1,0.995,0.97782,0.24554,0.26501,0.80553,0.000812,0.000812,0.000812
62,1134.38,0.34618,0.31762,0.8588,0.99808,1,0.995,0.96742,0.26983,0.27457,0.81532,0.0007922,0.0007922,0.0007922
63,1152.4,0.35462,0.32493,0.86429,0.99809,1,0.995,0.96702,0.27684,0.2649,0.81822,0.0007724,0.0007724,0.0007724
64,1170.36,0.35264,0.3309,0.8789,0.99806,1,0.995,0.95317,0.28896,0.27868,0.82229,0.0007526,0.0007526,0.0007526
65,1188.1,0.34478,0.33812,0.86293,0.99781,1,0.995,0.9565,0.30015,0.27442,0.82865,0.0007328,0.0007328,0.0007328
66,1206.05,0.34774,0.31609,0.86658,0.99732,1,0.995,0.96285,0.28917,0.26667,0.82397,0.000713,0.000713,0.000713
67,1223.94,0.32132,0.30344,0.84037,0.99706,1,0.995,0.95679,0.26375,0.26697,0.80909,0.0006932,0.0006932,0.0006932
68,1241.64,0.33971,0.30656,0.85864,0.99714,1,0.995,0.98893,0.25293,0.25828,0.80686,0.0006734,0.0006734,0.0006734
69,1259.37,0.35159,0.32204,0.85827,0.99694,1,0.995,0.99046,0.24284,0.25641,0.80278,0.0006536,0.0006536,0.0006536
70,1277.05,0.34795,0.31644,0.8568,0.99588,1,0.995,0.98591,0.22464,0.27262,0.80146,0.0006338,0.0006338,0.0006338
71,1295.82,0.30985,0.30204,0.84711,0.99611,1,0.995,0.9867,0.2124,0.25625,0.79934,0.000614,0.000614,0.000614
72,1313.12,0.30976,0.30537,0.85245,0.99746,1,0.995,0.98307,0.22179,0.2365,0.80255,0.0005942,0.0005942,0.0005942
73,1330.88,0.33605,0.30492,0.85365,0.99788,1,0.995,0.98617,0.24914,0.2279,0.80961,0.0005744,0.0005744,0.0005744
74,1349.07,0.32102,0.295,0.84603,0.99795,1,0.995,0.98462,0.23873,0.23056,0.80536,0.0005546,0.0005546,0.0005546
75,1366.71,0.30637,0.28411,0.85922,0.99798,1,0.995,0.98957,0.2274,0.22533,0.80031,0.0005348,0.0005348,0.0005348
76,1385.86,0.29596,0.28872,0.84052,0.99799,1,0.995,0.99021,0.22255,0.22552,0.7968,0.000515,0.000515,0.000515
77,1404.71,0.31297,0.27505,0.86401,0.99802,1,0.995,0.97374,0.2387,0.23215,0.7986,0.0004952,0.0004952,0.0004952
78,1424.69,0.30285,0.27994,0.83692,0.99795,1,0.995,0.97696,0.21891,0.22091,0.79485,0.0004754,0.0004754,0.0004754
79,1450.57,0.30938,0.28532,0.86005,0.99764,1,0.995,0.98907,0.22047,0.22081,0.79566,0.0004556,0.0004556,0.0004556
80,1502,0.29448,0.27568,0.84187,0.99761,1,0.995,0.98868,0.23166,0.21991,0.79776,0.0004358,0.0004358,0.0004358
81,1526.18,0.31077,0.27579,0.85538,0.99788,1,0.995,0.99136,0.22682,0.21185,0.79474,0.000416,0.000416,0.000416
82,1543.77,0.28676,0.26767,0.84892,0.99805,1,0.995,0.99121,0.22408,0.22497,0.79439,0.0003962,0.0003962,0.0003962
83,1561.54,0.29313,0.27198,0.83982,0.99808,1,0.995,0.995,0.21356,0.22624,0.79206,0.0003764,0.0003764,0.0003764
84,1599.66,0.29264,0.27684,0.85021,0.99807,1,0.995,0.98544,0.20923,0.21058,0.79177,0.0003566,0.0003566,0.0003566
85,1633.5,0.29598,0.278,0.85159,0.99805,1,0.995,0.9852,0.21008,0.21188,0.79217,0.0003368,0.0003368,0.0003368
86,1653.12,0.27924,0.25749,0.83879,0.99809,1,0.995,0.98594,0.2059,0.21314,0.79117,0.000317,0.000317,0.000317
87,1671.06,0.27103,0.2508,0.83323,0.9981,1,0.995,0.98666,0.20854,0.21203,0.79171,0.0002972,0.0002972,0.0002972
88,1689.25,0.2904,0.26294,0.84688,0.99812,1,0.995,0.99071,0.1929,0.20845,0.79045,0.0002774,0.0002774,0.0002774
89,1707.3,0.2894,0.2692,0.84491,0.99814,1,0.995,0.995,0.18921,0.20662,0.78938,0.0002576,0.0002576,0.0002576
90,1724.98,0.26937,0.25544,0.83799,0.99815,1,0.995,0.995,0.1947,0.20708,0.79006,0.0002378,0.0002378,0.0002378
91,1742.47,0.24358,0.28713,0.79515,0.99815,1,0.995,0.995,0.20562,0.21292,0.78996,0.000218,0.000218,0.000218
92,1760.29,0.21812,0.23592,0.75788,0.99813,1,0.995,0.98443,0.20851,0.22523,0.79074,0.0001982,0.0001982,0.0001982
93,1777.78,0.2202,0.23965,0.76795,0.99813,1,0.995,0.995,0.20643,0.21558,0.79086,0.0001784,0.0001784,0.0001784
94,1795.02,0.21007,0.23704,0.75932,0.9981,1,0.995,0.995,0.2016,0.20657,0.79008,0.0001586,0.0001586,0.0001586
95,1812.24,0.21673,0.24152,0.77793,0.99807,1,0.995,0.995,0.19637,0.20535,0.78987,0.0001388,0.0001388,0.0001388
96,1829.43,0.21627,0.23452,0.79199,0.99807,1,0.995,0.995,0.19596,0.20423,0.78946,0.000119,0.000119,0.000119
97,1846.64,0.21465,0.23121,0.79464,0.99808,1,0.995,0.992,0.19379,0.2089,0.78878,9.92e-05,9.92e-05,9.92e-05
98,1863.78,0.21464,0.2387,0.78248,0.99814,1,0.995,0.98748,0.1917,0.20521,0.78827,7.94e-05,7.94e-05,7.94e-05
99,1880.76,0.20725,0.22469,0.76973,0.99813,1,0.995,0.99121,0.188,0.19911,0.78746,5.96e-05,5.96e-05,5.96e-05
100,1897.85,0.20455,0.21638,0.7728,0.99813,1,0.995,0.99121,0.18534,0.19706,0.78732,3.98e-05,3.98e-05,3.98e-05
